source,reputation
lewrockwell.com,-1
libertyunyielding.com,-1
lifeandabout.com,-1
lifenews.com,-1
liveactionnews.org,-1
makeamericagreattoday.com,-1
meanlefthook.com,-1
molonlabemedia.com,-1
moonofalabama.org,-1
newslogue.com,-1
newsninja2012.com,-1
oathkeepers.org,-1
occupyliberals.com,-1
off-guardian.org,-1
oftwominds.com,-1
openmindmagazine.com,-1
orientalreview.org,-1
palmerreport.com,-1
patdollar.com,-1
patriotchronicle.com,-1
patriotnewsdaily.com,-1
patriotpost.us,-1
patriotrising.com,-1
patriotupdate.com,-1
paulcraigroberts.org,-1
platosguns.com,-1
politicalcult.com,-1
pravda.ru,-1
pravdareport.com,-1
presstv.com,-1
presstv.ir,-1
progressivestoday.com,-1
projectveritas.com,-1
qpolitical.com,-1
readconservatives.news,-1
reagancoalition.com,-1
realtimepolitics.com,-1
redflagnews.com,-1
redstatewatcher.com,-1
regated.com,-1
rightalert.com,-1
rightwingnews.com,-1
russia-insider.com,-1
SJLendman.Blogspot.com,-1
sputniknews.com,-1
thefederalistpapers.org,-1
thegatewaypundit.com,-1
thenewamerican.com,-1
thenewsdoctors.com,-1
therealstrategy.com,-1
thewatchtowers.com,-1
truepundit.com,-1
truthandaction.org,-1
truthkings.com,-1
truthrevolt.org,-1
unclesamsmisguidedchildren.com,-1
unz.com,-1
usapoliticstoday.com,-1
USAWatchdog.com,-1
uschronicle.com,-1
usherald.com,-1
vdare.com,-1
veteranstoday.com,-1
washingtonsblog.com,-1
wearechange.org,-1
westernjournalism.com,-1
winningdemocrats.com,-1
wnd.com,-1
worldnewspolitics.com,-1
Youngcons.com,-1
addictinginfo.org,-1
amplifyingglass.com,-1
amusmentic.com,-1
automotostar.com,-1
bients.com,-1
bigbluevision.org,-1
bipartisanreport.com,-1
blacklistednews.com,-1
bluenationreview.com,-1
breaking911.com,-1
chicksontheright.com,-1
educateinspirechange.org/health,-1
elitereaders.com,-1
heatst.com,-1
indiaarising.com,-1
liberalamerica.org,-1
libertywritersnews.com,-1
lifesitenews.com,-1
lifezette.com,-1
livevote.com,-1
lovethispic.com,-1
notallowedto.com,-1
nymeta.co,-1
occupydemocrats.com,-1
other98.com,-1
politicususa.com,-1
remedydaily.com,-1
topinfopost.com,-1
TrueActivist.com,-1
twitchy.com,-1
uslifetoday.com,-1
usuncut.com,-1
viraltube.nl,-1
yournationnews.com,-1
yournewswire.com,-1
21stcenturywire.com,-1
82.221.129.208,-1
abeldanger.net,-1
abovetopsecret.com,-1
activistpost.com,-1
Alt-Market.com,-1
americanfreepress.net,-1
americanreviewer.com,-1
angrypatriotmovement.com,-1
assassinationscience.com,-1
awarenessact.com,-1
awdnews.com,-1
BB4SP.com,-1
blackgenocide.org,-1
BullionBullsCanada.com,-1
canadafreepress.com,-1
concisepolitics.com,-1
conservativerefocus.com,-1
conspiracyplanet.com,-1
conspiracywire.com,-1
corbettreport.com,-1
corbettreport.com,-1
countdowntozerotime.com,-1
counterpsyops.com,-1
cryptogon.com,-1
dailyoccupation.com,-1
dataasylum.com,-1
davidwolfe.com,-1
dcclothesline.com,-1
disclosuremedia.net,-1
Dont-Tread-On.Me,-1
Dutchsinse.com,-1
EbolaHoax.com,-1
educate-yourself.org,-1
electionnightgatekeepers.com,-1
endoftheamericandream.com,-1
Expose1933.com,-1
eyeopening.info,-1
familysecuritymatters.org,-1
fellowshipoftheminds.com,-1
fourwinds10.net,-1
fprnradio.com,-1
FreedomForceInternational.com,-1
freedomoutpost.com,-1
fromthetrenchesworldreport.com,-1
gaia.com,-1
gangstergovernment.com,-1
globalresearch.ca,-1
godlikeproductions.com,-1
govtslaves.info,-1
greanvillepost.com,-1
hangthebankers.com,-1
henrymakow.com,-1
humansarefree.com,-1
illuminati-news.com,-1
infiniteunknown.net,-1
informationclearinghouse.info,-1
infowars.com,-1
intellihub.com,-1
investmentresearchdynamics.com,-1
ITCCS.org,-1
jesus-is-savior.com,-1
jihadwatch.org,-1
jonesreport.com,-1
knowledgeoftoday.org,-1
libertymovementradio.com,-1
libertytalk.fm,-1
libertyvideos.org,-1
militianews.com,-1
nasamoonhoax.com,-1
NationalUFOCenter.com,-1
nationindistress.weebly.com,-1
neonnettle.com,-1
newstarget.com,-1
nodisinfo.com,-1
NoMoreFakeNews.com,-1
nowtheendbegins.com,-1
OffGridSurvival.com,-1
oilgeopolitics.net,-1
pamelageller.com,-1
politicalblindspot.com,-1
prepperwebsite.com,-1
prisonplanet.com,-1
prisonplanet.com,-1
prisonplanet.tv,-1
rense.com,-1
rumormillnews.com,-1
secretsofthefed.com,-1
sentinelblog.com,-1
sheepkillers.com,-1
shoebat.com,-1
Silver-Coin-Investor. com,-1
SilverBearCafe.com,-1
SilverDoctors.com,-1
SilverStealers.net,-1
skeptiko.com,-1
sonsoflibertyradio.com,-1
thedailysheeple.com,-1
theeconomiccollapseblog.com,-1
theeventchronicle.com,-1
TheExtinctionProtocol.com,-1
theforbiddenknowledge.com,-1
thelibertybeacon.com,-1
themindunleashed.com,-1
themindunleashed.org,-1
thephaser.com,-1
thepoliticalinsider.com,-1
truthbroadcastnetwork.com,-1
truthfrequencyradio.com,-1
ufoholic.com,-1
wakeupthesheep.com,-1
wakingupwisconsin.com,-1
weshapelife.org,-1
whatdoesitmean.com,-1
whatreallyhappened.com,-1
whowhatwhy.org,-1
wikispooks.com,-1
Willyloman.wordpress.com,-1
worldtruth.tv,-1
X22Report.com,-1
zerohedge.com,-1
zootfeed.com,-1
16wmpo.com,-1
24newsflash.com,-1
24wpn.com,-1
70news.wordpress.com,-1
abcnews.com.co,-1
abcnewsgo.co,-1
alternativemediasyndicate.com,-1
americannews.com,-1
americanoverlook.com,-1
americanpoliticnews.co,-1
americanpresident.co,-1
Amposts.com,-1
anews24.org/,-1
anonjekloy.tk,-1
aurora-news.us,-1
beforeitsnews.com,-1
bighairynews.com,-1
blackinusrancenews.com,-1
bostonleader.com,-1
buzzfeedusa.com,-1
cannasos.com,-1
cap-news.com,-1
cbsnews.com.co,-1
channel-7-news.com,-1
channel18news.com,-1
cityworldnews.com,-1
civictribune.com,-1
clashdaily.com,-1
cnnews3.com,-1
coed.com,-1
conservativebyte.com,-1
conservativedailypost.com,-1
conservativefighters.com,-1
conservativeflashnews.com,-1
conservativeinfidel.com,-1
dailybuzzlive.com,-1
dailyheadlines.com,-1
dailyheadlines.net,-1
dailyinfobox.com,-1
dailynews10.com,-1
dailynews5.com,-1
dailynewsposts.info,-1
dailysurge.com,-1
dailyusaupdate.com,-1
damnleaks.com,-1
dcgazette.com,-1
ddemocraticunderground.com,-1
denverguardian.com,-1
departed.co,-1
departedmedia.com,-1
DIYhours.net,-1
donaldtrumpnews.co,-1
DonaldTrumpPotus45.com,-1
downtrend.com,-1
drudgereport.com.co,-1
embols.com,-1
Empirehearland.com,-1
empireherald.com,-1
empirenews.net,-1
empirenews.net,-1
en-vovle.com,-1
enabon.com,-1
enduringvision.com,-1
enhlive.com,-1
eutopia.buzz,-1
fakingnews.com,-1
fedsalert.com,-1
flashnewscorner.com,-1
floridasunpost.com,-1
freedomdaily.com,-1
freshdailyreport.com,-1
givemeliberity01.com,-1
globalpoliticsnow.com,-1
goneleft.com,-1
gopthedailydose.com,-1
gummypost.com,-1
healthycareandbeauty.com,-1
healthyworldhouse.com,-1
immediatesafety.org,-1
infostormer.com,-1
interestingdailynews.com,-1
intrendtoday.com,-1
itaglive.com,-1
ItMakesSenseBlog.com,-1
iwanttoexplore.com,-1
KMT11.com,-1
konkonsagh.biz,-1
krbcnews.com,-1
ky12news.com,-1
ladylibertynews.com,-1
lastdeplorables.com,-1
learnprogress.org,-1
liberalplug.com,-1
libertyalliance.com,-1
libertyblitzkrieg.com,-1
local31news.com,-1
madworldnews.com,-1
maganews.co,-1
majorthoughts.com,-1
mediamass.net,-1
megynkelly.us,-1
mentor2day.com,-1
metropolitanworlds.com,-1
mpidailymagazine.com,-1
mrconservative.com,-1
msnbc.website,-1
myfreshnews.com,-1
myzonetoday.com,-1
nationonenews.com,-1
nbc.com.co,-1
nephef.com,-1
newpoliticstoday.com,-1
news4ktla.com,-1
newsbbc.net,-1
newsbreakshere.com,-1
newsbysquad.com,-1
newsdaily12.com,-1
newsexaminer.net,-1
newsfrompolitics.com,-1
newsleak.co,-1
newslo.com,-1
newsmagazine.com,-1
newswatch28.com,-1
newswatch33.com,-1
newswithviews.com,-1
now8news.com,-1
onepoliticalplaza.com,-1
onlineconservativepress.com,-1
openmagazines.com,-1
pakalertpress.com,-1
politicalo.com,-1
politicalsitenews.com,-1
politicalupdator.com,-1
politicono.com,-1
politicsusanews.com,-1
president45donaldtrump.com,-1
prntly.com,-1
proamericanews.com,-1
proudcons.com,-1
react365.com,-1
realnewsrightnow.com,-1
redcountry.us,-1
redrocktribune.com,-1
religionmind.com,-1
rhotv.com,-1
rickwells.us,-1
rilenews.com,-1
rogue-nation3.com,-1
rumorjournal.com,-1
smag31.com,-1
socialeverythings.com,-1
stormcloudsgathering.com,-1
subjectpolitics.com,-1
success-street.com,-1
supremepatriot.com,-1
TDTalliance.com,-1
teaparty.org,-1
thatviralfeed.net,-1
the-insider.co,-1
theamericanindependent.wordpress.com,-1
thebigriddle.com,-1
thebostontribune.com,-1
thecommonsenseshow.com,-1
thecontroversialfiles.net,-1
thefreepatriot.org,-1
theinternetpost.net,-1
thelastgreatstand.com,-1
themoralofthestory.us,-1
thenet24h.com,-1
thenewyorkevening.com,-1
theracketreport.com,-1
thereporterz.com,-1
therightscoop.com,-1
thetrumpmedia.com,-1
thetruthdivision.com,-1
thetruthseeker.co.uk,-1
theusa-news.com,-1
thewashingtonpress.com,-1
threepercenternation.com,-1
times.com.mx,-1
tmzworldnews.com,-1
trueamericans.me,-1
truetrumpers.com,-1
trumpvision365.com,-1
undergroundnewsreport.com,-1
undergroundworldnews.com,-1
unitedmediapublishing.com,-1
universepolitics.com,-1
usa-radio.com,-1
usa-television.com,-1
usa2016elections.com,-1
usadailyinfo.com,-1
usadailypolitics.com,-1
usadailytime.com,-1
usadosenews.com,-1
usafirstinformation.com,-1
usahitman.com,-1
usainfobox.com,-1
usamagazinestudio.com,-1
usanewsflash.com,-1
usanewsinsider.com,-1
usanewspolitics.com,-1
usanewstoday.com,-1
usaonlinepolitics.com,-1
usaphase.com,-1
usapolitics24hrs.com,-1
usapoliticsnow.com,-1
usapoliticszone.com,-1
usasnich.com,-1
usasupreme.com,-1
usatoday.com.co,-1
usatodaynews.me,-1
usatwentyfour.com,-1
usconservativetoday.com,-1
usfanzone.com,-1
ushealthyadvisor.com,-1
ushealthylife.com,-1
usinfonews.com,-1
uspoliticslive.com,-1
uspoln.com,-1
uspostman.com,-1
vigilantcitizen.com,-1
viralactions.com,-1
viralliberty.com,-1
voxtribune.com,-1
washingtonfed.com,-1
washingtonpost.com.co,-1
webdaily.com,-1
weeklyworldnews.com,-1
worldpoliticsus.com,-1
worldrumor.com,-1
worldstoriestoday.com,-1
wtoe5news.com,-1
yesimright.com,-1
yourfunpage.com,-1
worldpoliticsnow.com,-1
FarmWars.info,-1
actforamerica.org/news,-1
adflegal.org/media,-1
americanborderpatrol.com,-1
amren.com,-1
amren.com,-1
aryannationswordwide1488.org,-1
barenakedislam.com,-1
barnesreview.org,-1
bigbluevision.com,-1
centerforsecuritypolicy.org/#articles,-1
christianfightback.com,-1
creativitymovement.net/category/news/,-1
dailyken.com,-1
dailystormer.com,-1
darkmoon.me,-1
davidduke.com,-1
drrichswier.com,-1
EUTimes.net,-1
gatesofvienna.net,-1
glaringhypocrisy.com,-1
ihr.org,-1
libertyfederation.com,-1
nationalvanguard.org,-1
npiamerica.org,-1
returnofkings.com,-1
themuslimissue.wordpress.com,-1
therightstuff.biz,-1
truthfeed.com,-1
whitepower.com,-1
AmericanKabuki.blogspot.com,-1
ancient-code.com,-1
checkoutthehealthyworld.com,-1
collective-evolution.com,-1
collectivelyconscious.net,-1
consciouslifenews.com,-1
dineal.com,-1
ewao.com,-1
ExperimentalVaccines.org,-1
foodbabe.com,-1
galacticconnection.com,-1
geoengineeringwatch.org,-1
GreenMedInfo.com,-1
healthimpactnews.com,-1
healthnutnews.com,-1
healthy-holistic-living.com,-1
icr.org,-1
in5d.com,-1
lifeprevention.com,-1
naturalblaze.com,-1
naturalnews.com,-1
naturalnewsblogs.com,-1
rawforbeauty.com,-1
realfarmacy.com,-1
realplanetnews.com,-1
responsibletechnology.org,-1
revolutions2040.com,-1
thetruthaboutcancer.com,-1
TheTruthWins.com,-1
wakingtimes.com,-1
whydontyoutrythis.com,-1
worldwidehealthy.com,-1
dailyleak.org,-1
advocate.com,-1
alternet.org,-1
americannewsx.com,-1
americanprogress.org,-1
attn.com,-1
baptistnews.com,-1
breitbart.com,-1
cato.org/blog,-1
chroniclesmagazine.org,-1
city-journal.org,-1
commentarymagazine.com,-1
commondreams.org,-1
conservativereview.com,-1
countercurrents.org,-1
counterinformation.wordpress.com,-1
counterpunch.com,-1
counterpunch.org,-1
dailycaller.com,-1
dailykos.com,-1
davidstockmanscontracorner.com,-1
DeadLineLive.info,-1
dennismichaellynch.com,-1
dissentmagazine.org,-1
drudgereport.com,-1
economicnoise.com,-1
ecowatch.com,-1
Emptywheel.net,-1
filmsforaction.org,-1
foreignpolicyjournal.com,-1
freedomworks.org,-1
fusion.net,-1
geopolmonitor.com,-1
guardianlv.com,-1
heritage.org,-1
ijr.com,-1
jackpineradicals.com,-1
jacobinmag.com,-1
judicialwatch.org,-1
mintpressnews.com,-1
mrc.org,-1
nakedcapitalism.com,-1
nationalreview.com,-1
newcoldwar.org,-1
newscorpse.com,-1
oann.com,-1
observer.com,-1
OCCUPY.com,-1
pjmedia.com,-1
presidentialvoting2016.com,-1
proudemocrat.com,-1
rawstory.com,-1
redstate.com,-1
resistancereport.com,-1
rinf.com,-1
ronpaulinstitute.org,-1
ruptly.tv,-1
theblaze.com,-1
thedailybeast.com,-1
thefifthcolumnnews.com,-1
theintercept.com,-1
thinkprogress.org,-1
TomWoods.com,-1
washingtonexaminer.com,-1
weeklystandard.com,-1
yellowhammernews.com,-1
christianpost.com,-1
consortiumnews.com,-1
nutritionfacts.org,-1
americantoday.news,-1
amtvmedia.com,-1
bigbluedimension.com,-1
christiantimesnewspaper.com,-1
express.co.uk,-1
loanpride.com,-1
magafeed.com,-1
mediazone.news,-1
megafreshnews.com,-1
newswire-24.com,-1
pollhype.com,-1
abriluno.com,-1
aceflashman.wordpress.com,-1
actualidadpanamericana.com,-1
adobochronicles.com,-1
associatedmediacoverage.com,-1
awazetribune.com,-1
beehivebugle.com,-1
betootaadvocate.com,-1
bigamericannews.com,-1
borowitzreport.com,-1
bostontribune.com,-1
burrardstreetjournal.com,-1
callthecops.net,-1
celebtricity.com,-1
chaser.com.au,-1
christwire.org,-1
chronicle.su,-1
clickhole.com,-1
creambmp.com,-1
crystalair.com,-1
dailycurrant.com,-1
dailydiscord.com,-1
dailysnark.com,-1
dailysquib.co.uk,-1
dandygoat.com,-1
der-postillon.com,-1
derfmagazine.com,-1
disclose.tv,-1
diversitychronicle.wordpress.com,-1
duffleblog.com,-1
duhprogressive.com,-1
elkoshary.com,-1
elmundotoday.com,-1
empiresports.co,-1
empiresports.co,-1
fmobserver.com,-1
fognews.ru,-1
freepatriot.org,-1
freewoodpost.com,-1
fridaymash.com,-1
glossynews.com,-1
gomerblog.com,-1
holyobserver.com,-1
humortimes.com,-1
huzlers.com,-1
ironictimes.com,-1
islamicanews.com,-1
johnnyrobish.com,-1
landoverbaptist.org,-1
liberalbias.com,-1
liberaldarkness.com,-1
lushforlife.com,-1
nahadaily.com,-1
nationalreport.net,-1
ncscooper.com,-1
newsbiscuit.com,-1
newsbreakers.org,-1
newsmutiny.com,-1
newsthump.com,-1
newstoad.net,-1
newyorker.com/humor,-1
objectiveministries.org,-1
patriotnewsdaily.com,-1
politicops.com,-1
politicot.com,-1
reductress.com,-1
religionlo.com,-1
rockcitytimes.com,-1
satiratribune.com,-1
satirewire.com,-1
scrappleface.com,-1
sensationalisttimes.com,-1
speld.nl,-1
sportspickle.com,-1
stneotscitizen.com,-1
stuppid.com,-1
surrealscoop.com,-1
thebeaverton.com,-1
thedailymash.co.uk,-1
thedailywtf.com,-1
thehardtimes.net,-1
theineptowl.com,-1
thelastlineofdefense.org,-1
themadisonmisnomer.com,-1
themideastbeast.com,-1
thenewsnerd.com,-1
theonion.com,-1
thepoke.co.uk,-1
therightists.com,-1
theseattletribune.com,-1
theshovel.com.au,-1
theskunk.org,-1
thespoof.com,-1
thestatelyharold.com,-1
thetimesoftheworld.com,-1
theunrealtimes.com,-1
theuspatriot.com,-1
thevalleyreport.com,-1
topekasnews.com,-1
unconfirmedsources.com,-1
us.blastingnews.com,-1
waterfordwhispersnews.com,-1
WilliamBanzai7.blogspot.com,-1
winkprogress.com,-1
witscience.org,-1
wonkie.com,-1
worldnewsdailyreport.com,-1
wundergroundmusic.com,-1
www.rt.com,-1
aanirfan.blogspot.co.uk,-1
Acting-Man.com,-1
ahtribune.com,-1
allnewspipeline.com,-1
anonews.co,-1
anonhq.com,-1
anonnews.co,-1
asia-pacificresearch.com,-1
AutomaticEarth.com,-1
awm.com,-1
blackagendareport.com,-1
Boilingfrogspost.com,-1
breakpoint.org,-1
bvanews.com,-1
cnnnext.com,-1
CNSNews.com,-1
coasttocoastam.com,-1
conservativeoutfitters.com,-1
DaveJanda.com,-1
dcleaks.com,-1
FinancialSurvivalNetwork.com,-1
guccifer2.wordpress.com,-1
ifyouonlynews.com,-1
jewsnews.co.il,-1
libertynews.com,-1
Mad-Yet.blogspot.com,-1
madpatriots.com,-1
madworldnews.com,-1
madworldnews.com,-1
morningledger.com,-1
morningnewsusa.com,-1
nevo.news,-1
newcenturytimes.com,-1
Newsmax.com,-1
northcrane.com,-1
NutritionalAnarchy.com,-1
politicalears.com,-1
politicsintheusa.com,-1
powerpoliticians.com,-1
shareblue.com,-1
SovereignMan.com,-1
theantimedia.org,-1
theduran.com,-1
thefreethoughtproject.com,-1
thegoldandoilguy.com/articles,-1
theinformedamerican.net,-1
thelibertymill.com,-1
usdefensewatch.com,-1
usviewer.com,-1
veteransnewsnow.com,-1
WallStreetOnParade.com,-1
weaselzippers.us,-1
whowhatwhy.com,-1
wikileaks.com,-1
wikileaks.org,-1
WolfStreet.com,-1
